ZipCode/Item,,,,2022-0281 Bighorn Sheep Tag Drawing Application (Nonres),2022-0280 Bighorn Sheep Tag Drawing Application (Res),,2022-1500 Carrizo Plain ER - Chimineas Unit Apprentice Deer Draw Application,2022-1152 Deer Tag Drawing Application - 1st Deer (Lifetime Licensee),2022-1151 Deer Tag Drawing Application - 1st Deer (Nonres),2022-1150 Deer Tag Drawing Application - 1st Deer (Res),,2022-1161 Deer Tag Drawing Application - 2nd Deer (Nonres),2022-1160 Deer Tag Drawing Application - 2nd Deer (Res),,2022-0211 Elk Tag Drawing Application (Nonres),,2022-0210 Elk Tag Drawing Application (Res),,2022-6086 Hunter Education Instructor Only - Deer - Open Zone Drawing Application,,2022-0201 Pronghorn Antelope Tag Drawing Application (Nonres),2022-0200 Pronghorn Antelope Tag Drawing Application (Res),2022-1700 Tehama Wildlife Area G1 Deer Hunt Access Permit Application,2022-1131 Bear Tag (Nonres),2022-1132 Bear Tag (Res - Junior),2022-1130 Bear Tag (Res),2022-4511 Bighorn Sheep Tag (Nonres),2022-4510 Bighorn Sheep Tag (Res),2022-4513 Bighorn Sheep Tag - Fundraising (Nonres),2022-4512 Bighorn Sheep Tag - Fundraising (Res),2022-1542 Deer Exception Exchange 1st Deer Tag,2022-1543 Deer Exception Exchange 2nd Deer Tag,2022-1540 Deer Exchange 1st Deer Tag,2022-1541 Deer Exchange 2nd Deer Tag,2022-1341 Deer Tag  - 2nd Deer  (Nonres),2022-1342 Deer Tag  - 2nd Deer (Draw Issued),2022-1349 Deer Tag  - 2nd Deer (Unsuccessful Draw),2022-1344 Deer Tag  - Fundraising 2nd Deer  (Res),2022-1343 Deer Tag  - Military 2nd Deer  (Res),2022-1142 Deer Tag - 1st Deer (Draw Issued),2022-1143 Deer Tag - 1st Deer (Lifetime Licensee),2022-1141 Deer Tag - 1st Deer (Nonres),2022-1140 Deer Tag - 1st Deer (Res),2022-1149 Deer Tag - 1st Deer (Unsuccessful Draw),2022-9145 Deer Tag - 1st Deer Landowner (Lifetime Licensee),2022-1146 Deer Tag - 1st Deer Landowner (Nonres),2022-1145 Deer Tag - 1st Deer Landowner (Res),2022-9143 Deer Tag - 1st Deer Landowner (Unsuccessful Draw),2022-9144 Deer Tag - 1st Deer Military (Lifetime Licensee),2022-9142 Deer Tag - 1st Deer Military (Unsuccessful Draw),2022-1340 Deer Tag - 2nd Deer (Res),2022-1351 Deer Tag - 2nd Deer Landowner (Res),2022-9141 Deer Tag - Military 1st Deer (Nonres) ,2022-1144 Deer Tag - Military 1st Deer (Res),2022-3371 Elk Tag (Nonres),2022-3376 Elk Tag (Res - Junior),2022-3370 Elk Tag (Res),2022-3381 Elk Tag - Fundraising (Nonres),2022-3380 Elk Tag - Fundraising (Res),2022-3378 Elk Tag - Hunter Ed Instructor Incentive Program SHARE (Res),2022-3390 Elk Tag - Sec 555 Landowner (Res),2022-3375 Elk Tag - SHARE (Nonres),2022-3379 Elk Tag - SHARE (Res - Junior),2022-3374 Elk Tag - SHARE (Res),2022-5050 PLM Bear,2022-5000 PLM Deer Tag (Antlerless),2022-5010 PLM Deer Tag (Buck),2022-5110 PLM Deer Tag (Either-Sex),2022-5080 PLM Elk Tag (Antlerless),2022-5040 PLM Elk Tag (Bull),2022-5020 PLM Pronghorn Antelope Tag (Buck),2022-4331 Pronghorn Antelope Tag (Nonres),2022-4335 Pronghorn Antelope Tag (Res - Junior),2022-4330 Pronghorn Antelope Tag (Res),2022-4332 Pronghorn Antelope Tag - Fundraising (Res),2022-4711 Wild Pig Tag (Nonres),2022-4710 Wild Pig Tag (Res),2022-4717 Wild Pig Tag - Lifetime (up to 5 Free),"2022-6210 Big Game Tag Return Processing Fee (Antelope, Bighorn Sheep, and Elk)",2022-1190 Deer Tag Non-Reporting Fee,2022-1191 Deer Tag Non-Reporting Fee (Manual),2022-6807 Fundraising Donation - Bighorn Sheep,2022-6808 Fundraising Donation - Deer,2022-6805 Fundraising Donation - Elk,2022-6806 Fundraising Donation - Pronghorn Antelope,2022-1195 Offset Fee - Resident to Nonresident 1st Deer Tag,2022-7204 Refund - Nonresident 1st Deer Drawing Application,2022-7203 Refund - Nonresident 2nd Deer Drawing Application,2022-3320 Hunting License  - Disabled Veteran,2022-3321 Hunting License  - Recovering Service Member,2022-1110 Hunting License (Junior),2022-1117 Hunting License (Junior) - Lifetime,2022-1120 Hunting License (Nonres),2022-1100 Hunting License (Res),2022-1107 Hunting License - Lifetime,2022-1220 Hunting 1-Day License (Nonres) Game Bird Club,2022-1170 Hunting 2-Day License (Nonres),2022-3350 Disabled Archer Permit,2022-3351 Disabled Archer Permit - Temporary,2022-0150 Harvest Information Program (HIP) Validation,2022-7180 Hunter Education Certificate (Dup),2022-7505 Hunter Education Class Pre-Registration,2022-1457 SHARE Big Game Hunts Multi Choice Application,2022-1456 SHARE Bird Hunts Multi Choice Application,2022-1466 SHARE Elk Multi-Choice Draw Application,2022-1454 SHARE Elk Private Lands Management Area (PLM) Draw Application,2022-5060 PLM Turkey Tag,2022-5070 PLM Upland Game Bird Seal,2022-1600 Dove Hunt Drawing Application,2022-1607 Fall Turkey Hunt Drawing Application,2022-1602 Little Dry Creek Family Pheasant Hunt Drawing Application,2022-1601 Quail/Chukar Hunt Drawing Application,2022-1603 Spring Turkey Hunt Drawing Application - All Junior Hunts,2022-1606 Spring Turkey Hunt Drawing Application - Archery Only,2022-1605 Spring Turkey Hunt Drawing Application - Balance of Season,2022-1604 Spring Turkey Hunt Drawing Application - Opening Weekend,2022-1480 Upland Game Bird Validation,2022-1487 Upland Game Bird Validation- Lifetime,2022-1440 Type A Wildlife Area Season Pass,2022-1430 Type B Wildlife Area Season Pass ,2022-1411 Type A Wildlife Area Pass (1-Day),2022-1410 Type A Wildlife Area Pass (1-Day) - Two Day Package Constituent,2022-1420 Wildlife Area Pass (2-Day Package),2022-1494 Waterfowl Active Military and Veteran Weekend  Mobility Impaired Hunts Application,2022-1492 Waterfowl Active Military and Veteran Weekend Application,2022-1400 Waterfowl Multi Choice Application,2022-1401 Waterfowl Multi Choice Application (Mobility Impaired Hunts),2022-1490 Waterfowl Season Long Application,2022-1491 Waterfowl Season Long Application (Mobility Impaired Hunts),2022-1180 California Duck Validation,2022-1187 California Duck Validation - Lifetime,Grand Total
90740,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,7,,,1,,,0,,,-1,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,3,16,,,,,10,,,,,,,,,,,,,,,,,2,8,1,,,,,,,,,,,1,8,66
90746,,,,,,,,,,28,,,,,,,3,,,,,,,1,,43,,,,,,,,,1,,,,,,,,58,9,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,26,,,,,,,,,1,,9,,,159,,,2,,,45,,,,,,,,,,,,,,,,,103,,2,,2,26,13,,,,,164,,9,,784
90755,,,,,,,,,,13,,,,,,,1,,,,,,,,,19,,,,,,,,,,,,,,,,,37,5,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,,7,,,,,,,,,,,10,,,239,2,,2,1,,128,,1,,,,,,,,,,,,,,,153,2,4,,39,34,17,,,,,5,,42,1,828
90803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5
90804,,,,,,,,,1,5,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,31,2,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,1,17,,,2,,,,,,,,,,,6,,1,104,1,,,1,,72,,,,,,,,,,,,,,,,,80,1,3,,20,40,20,,,2,,136,,35,,605
90808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,11,1,,,,,3,,3,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,1,,35
91010,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,2,,,,,,,,,,,,,,27,1,,,,,3,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,3,,76
91042,,,,,4,,,,,8,,,,,,,7,,,,,5,,,1,25,,,,,,,,,,,1,,,,,,57,5,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,19,,,,,,,,,1,,4,,,220,,,2,,,145,,,,,,,,,,,,,,,,,164,,2,,11,18,9,,,65,,,,25,,881
91103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,5
91105,,,,,3,,,1,,13,,,,,,,6,,,,,2,,,,19,,,,,,,,,,,,,,,,1,30,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,1,53,5,,7,,,,,,,,,0,,4,,4,230,1,,2,0,,144,,,,,,,,,,,,,,,,,155,,3,,11,32,16,,,,,,,54,,823
91107,,,,,2,,,,,7,,,,,,,1,,,,,2,,,,15,,,,,,,,,,,,,,,1,,36,1,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,1,35,1,,8,,,,,,,,,1,,5,,2,223,5,,,1,,150,,,,,,,,,,,,,,,,,154,1,1,,31,8,4,,,,,,,56,2,784
91203,,,,,1,,,,,11,,,,,,,6,,,,,1,,,,17,,,,,,,,,,,,,,,,,18,3,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,5,,,,,,,,,1,,8,,,202,1,,,,,114,1,,,,,,,,,,,,,,,,150,,3,,14,4,2,,,87,,,,20,,732
91210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
91303,,,,,,,,,,13,,,,,,,,,,,,,,,1,19,,,,,,,,,,,,,,,1,,30,3,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,,17,,,,,,,,,2,,5,1,,122,2,,1,1,,73,,,,,,,,,,,,,,,,,82,2,1,,4,6,3,,,,,41,,11,2,513
91316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,11,,,,,,8,,,,,,,,,,,,,,,,,6,,,,1,2,1,,,,,,,4,,41
91324,,,,,3,,,,,10,,,,,,,3,,,,,3,,,1,23,,,,,,,,,,,,,,,,,47,2,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,11,,,,,,,,,,,7,,1,137,,,,,,70,,1,,,,,,,,,,,,,,,80,,1,,4,2,1,,,,,,,11,,477
91326,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,24
91335,,,,,2,,,,,18,,,,,,,6,,,,,3,,1,2,14,,,,,,,,,,,,,,0,,,57,6,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,,17,,,,,,,,,2,,6,,1,265,1,,1,1,,146,,,,,,,,,,,,,,,,,167,,6,,20,20,10,,,,,,,58,,925
91344,,,,,6,,,,,58,,,,,,,12,,,,,5,,,1,100,,,,,,,,,,,,,,,,,199,20,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,78,,,,,,,,,2,,18,,1,447,1,,1,1,,247,,,,,,,,,,,,,,,,,272,,1,,14,8,4,,,50,,,,33,,1816
91350,,,,,1,,,,,13,,,,,,,2,,,,,2,,,1,15,,,,,,,,,,,,,,,,,42,4,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,9,,,,,,,,,4,,8,,,192,,,2,,,121,,,,,,,,,,,,,,,,,131,,2,,25,36,18,,,10,,,,30,,741
91351,,,,,1,,,,,19,,,,,,,4,,,,,2,,,1,14,,,,,,,,,,,,,,,,,55,7,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,1,27,,,15,,,,,,,,,3,,9,,1,162,1,,3,,,82,,2,,,,,,,,,,,,,,,126,1,,,2,30,15,,,,,64,,20,,698
91355,,,,,4,,,,,22,,,,,,,3,,,,,3,,,,32,,,,,,,,,,,,,,,,,79,10,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,3,82,,,24,,,,,,,,,2,,3,,4,264,1,,1,,,96,,2,,,,,,,,,,,,,,,157,1,1,,18,26,13,,,,,,,43,,934
91360,,,,,2,,,,,13,,,,,,,7,,,,,3,,,2,22,,,,,,,,,,,,,,,,,62,6,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,2,126,5,,10,,,,,,,,,2,,14,,3,271,4,,2,,,108,5,2,,,,,,,,,,,,,,,169,2,3,,16,44,22,,,,17,,21,58,2,1059
91381,,,,,2,,,,,6,,,,,,,2,,,,,1,,,1,12,,,,,,,,,,,,,,,,,34,2,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,13,,,,,,,,,1,,4,,,59,,,,,,17,,,,,,,,,,,,,,,,,39,,,,3,4,2,,,,,,,3,,244
91384,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,7,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,5,,,,,,,,,,,1,,,25,,,1,,,5,,2,,,,,,,,,,,,,,,22,,,,5,6,3,,,,,,,,,109
91402,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7
91405,,,,,2,,,,,30,,,,,,,8,,,,,2,,,3,40,,,,,,,,,,,,,,,,,121,11,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,2,76,,,43,,,,,,,,,,,13,,,337,2,,,2,,186,,,,,,,,,,,,,,,,,231,,1,,19,4,2,,,,,,,27,,1255
91411,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,13,,,,,,4,,2,,,,,,,,,,,,,,,11,,,,,,,,,,,,,1,,44
91502,,,,,,,,,,18,,,,,,,4,,,,,,,,,23,,,,,,,,,,,,,,,1,1,95,4,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,1,63,5,,31,,,,,,,,,1,,12,,2,360,2,,1,,,190,,1,,,,,,,,,,,,,,,233,2,3,,16,26,13,,,,,,,41,2,1198
91505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91604,,,,,1,,,,,5,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,22,3,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,4,,,,,,,,,,,1,,,76,1,,,,,44,,,,,,,,,,,,,,,,,49,1,,,6,2,1,,,,,,,12,1,264
91706,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9
91709,,,,,1,,,,,25,,,,,,,4,,,,,3,,,,14,,,,,,,,,,,,,,,,2,14,8,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,,4,,,,,,,,,6,,4,,3,217,,,2,,,93,,1,,,,,,,,,,,,,,,137,,3,,11,28,14,,,144,,,44,42,,876
91710,,,,,2,,,,,63,,,,,,,2,,,,,1,,,,41,,,,,,,,,,,,,,,1,,59,7,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,41,5,,34,,,,,,,,,1,,8,,2,293,1,,,1,,164,,1,,,,,,,,,,,,,,,214,1,6,,26,52,26,,4,94,,,,40,1,1243
91722,,,,,1,,,,,10,,,,,,,1,,,,,2,,,,20,,,,,,,,,,,,,,0,,,37,2,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,11,,,,,,,,,,,3,,,105,,,,,,47,,,,,,,,,,,,,,,,,52,,1,,11,12,6,,,28,,208,,8,,604
91730,,,,,1,,,1,,8,,,,,,,1,,,,,,,1,,10,,,,,,,,,,,,,,0,1,,11,4,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,4,,,,,,,,,,,5,,3,117,2,,,,,53,,,,,,,,,,,,,,,,,90,,2,,7,34,17,,,,,,,15,,412
91731,,,,,,,,,,14,,,,,,,,,,,,,,,1,34,,,,,,,,,,,,,,,,,47,1,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,19,,,,,,,,,,,5,,,93,,,1,,,38,,,,,,,,,1,,,,,,,,58,,,,1,14,7,,,,,,41,3,,424
91739,,,,,23,,,,,257,,,1,,,,41,,,,,17,,,3,204,,,,,,,,,,,,,,0,,1,305,33,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,5,172,,,107,,,,,,,,,24,,80,1,8,1502,7,,11,9,,1000,3,,,,,,,,1,,,,,,,,923,4,31,1,98,220,110,,2,152,5,121,,330,2,6029
91740,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,10,,,,,,2,,1,,,,,,,,,,,,,,,9,,,,1,4,2,,,,,,,0,,36
91744,,,,,1,,,,,27,,,,,,,1,,,,,,,,1,15,,,,,,,,,,,,,,,,,28,6,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,12,,,,,,,,,1,,4,,,84,,,,,,18,,,,,,,,,,,,,,,,,43,,,,1,6,3,,,,,,,3,,296
91745,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,49
91748,,,,,,,,,,13,,,,,,,1,,,,,,,,2,15,,,,,,,,,,,,,,,,,24,3,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,6,,,,,,,,,,,3,,1,147,,,,,,27,1,1,,,5,1,,,,,,,,,,,40,,,,13,14,7,,,,,,,10,,357
91754,,,,,,,,,,23,,,,,,,1,,,,,,,,2,32,,,,,,,,,,,,,,,,,75,4,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,23,,,,,,,,,2,,8,,,134,,,,1,,75,,,,,,,,,,,,,,,,,74,,1,,2,4,2,,,,,,,5,,552
91755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,6
91762,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,1,,,,,,,,,13
91764,,,,,4,,,,,16,,,,,,,5,,,,,4,,,,7,,,,,,,,,,,,,,,,,17,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,3,,,,,,,,,1,,4,,,131,,,,,,56,,,,,,,,,,,,,,,,,73,,2,,21,24,12,,,2,,66,,23,,485
91766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,6,3,,,,,,,,,16
91767,,,,,1,,,,,8,,,,,,,1,,,,,1,,,1,12,,,,,,,,,,,,,,,,1,22,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,1,27,,,10,,,,,,,,,1,,3,,2,104,,,,,,41,,1,,,,,,,,,,,,,,,75,,,,19,22,11,,,30,,26,26,13,,478
91770,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,1,,,,,16,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,36
91773,,,,,4,,,,,22,,,,,,,7,,,,,5,,,1,31,,,,,,,,,,,,,,,1,,29,9,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,,13,,,,,,,,,1,,8,,2,197,1,,1,,,165,1,1,,,,,,,,,,,,,,,162,,1,,31,116,58,,,17,,,,36,,979
91776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,30,,,1,,,25,,,,,,,,,,,,,,,,,29,,,,,,,,,,,29,,13,,134
91786,,,,,10,,,,,37,,,,,,,12,,,,,6,,1,,24,,,,,,,,,1,,,,,,,,27,4,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,1,20,,,12,,,,,,,,,4,,5,,2,162,,,2,,,82,,2,,,,,,,,,,,,,,,103,,1,,13,28,14,,,,,,,13,,617
91791,,,,,2,,,,,46,,,,,,,3,,,,,3,,,1,26,,,,,,,,,,,,,,0,,,43,6,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,12,,,,,,,,,5,,7,,,239,2,,,1,,153,,1,,,,,,,,,,,,,,,146,1,5,,19,56,28,,,8,,58,,43,1,972
91801,,,,,1,,,,,4,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,1,,13,2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,5,,,,,,,,,1,,1,,,83,1,,,,,10,,,,,,,,,,,,,,,,,28,,,,2,8,4,,,,,,,6,,197
91803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
91910,,,,,2,,,,,22,,,,,,,3,,,,,3,,,,10,,,,,,,,,,,,,,,,,60,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,22,,,,,,,,,10,,9,1,,187,,,2,,,142,1,1,,,,,,,,,,,,,,,141,,3,,30,36,18,,,16,,,,30,,808
91911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,5
91915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,3,,2,,,14,,,,,,3,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,1,,43
91942,,,,,5,,,1,,13,,,,,,,7,,,,,7,,,,2,,,,,,,,,,,,,,,,,19,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,5,,,,,,,,,5,,5,,2,103,3,,,,,72,,1,,,,,,,,,,,,,,,75,1,,,3,,,,,,,,,16,1,364
91945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,13
91950,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,4,2,,,,,,,,,30
91977,,,,,2,,,,,11,,,,,,,2,,,,,2,,,,6,,,,,,,,,,,,,,,,1,18,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,,6,,,,,,,,,6,,10,,1,164,3,,1,,,102,,,,,,,,,,,,,,,,,138,2,1,,29,28,14,,,,,45,,50,2,680
92009,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,,,,,,1,,2,,1,62,2,,,,,48,,,,,,,,,,,,,,,,,53,,1,,12,16,8,,,43,,,,24,,295
92020,,,,,1,,,,,45,,,,,,,6,,,,,3,,,,20,,,,,,,,,,,,,,,,1,111,4,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,1,40,,,31,,,,,,,,,16,,45,0,6,723,8,,5,3,,590,1,,,,,,,,,,,,,,,,608,3,11,,75,78,39,,,73,,43,,210,3,2866
92021,,,,,4,,,,,27,,,,,,,5,,,,,1,,,,1,,,,,,,,,,,,,,,,,35,2,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,1,20,,,13,,,,,,,,,13,,10,,3,192,1,,3,,,166,,1,,,,,,,,,,,,,,,183,1,,,5,18,9,,,,,,,34,1,785
92024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,13,,,,,,7,,,,,,,,,,,,,,,,,11,,,,1,,,,,,,,,4,,40
92027,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,0,,,15,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,,,,1,,6,,,103,,,1,,,71,,2,,,,,,,,,,,,,,,75,,1,,24,20,10,,,,,,,31,,380
92028,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,2,,,,,,,,,,,5,,1,24,,,,,,16,,,,,,,,,,,,,,,,,10,,1,,,2,1,,,,,,,3,,96
92036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,5,,,,1,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,16
92037,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,2,,14
